pdb,path,url,protein,virus,method,resolution,rmsd,rwork,rfree
6m03,../pdb/3c_like_proteinase/SARS-CoV-2/6m03,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6m03,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,1,1.99,,0.1962,0.2458
7bro,../pdb/3c_like_proteinase/SARS-CoV-2/7bro,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7bro,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.0,,0.2262,0.259
5rh0,../pdb/3c_like_proteinase/SARS-CoV-2/5rh0,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rh0,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.92,,0.1952,0.2405
5rff,../pdb/3c_like_proteinase/SARS-CoV-2/5rff,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rff,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.78,,0.192,0.2474
5r81,../pdb/3c_like_proteinase/SARS-CoV-2/5r81,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5r81,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.84,,0.182,0.2494
5rgk,../pdb/3c_like_proteinase/SARS-CoV-2/5rgk,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rgk,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.43,,0.1742,0.2099
5re5,../pdb/3c_like_proteinase/SARS-CoV-2/5re5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5re5,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.07,,0.1811,0.2649
6xbh,../pdb/3c_like_proteinase/SARS-CoV-2/6xbh,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6xbh,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.6,,0.1735,0.2207
5reb,../pdb/3c_like_proteinase/SARS-CoV-2/5reb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5reb,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.68,,0.1755,0.2237
7brp,../pdb/3c_like_proteinase/SARS-CoV-2/7brp,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7brp,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.8,,0.2156,0.2396
