path, resolution
../pdb/human_interaction_partners/ACE2/6m18 2.9
../pdb/human_interaction_partners/ACE2/6m17 2.9
../pdb/human_interaction_partners/TCP2/6j8e 3.0
../pdb/human_interaction_partners/TCP2/6kzp 3.1
../pdb/human_interaction_partners/TCP2/6du8 3.11
../pdb/human_interaction_partners/TCP2/6j8i 3.2
../pdb/human_interaction_partners/TCP2/6j8j 3.2
../pdb/human_interaction_partners/TCP2/6j8g 3.2
../pdb/human_interaction_partners/TCP2/6j8h 3.2
../pdb/human_interaction_partners/TCP2/6agf 3.2
../pdb/human_interaction_partners/TCP2/6kzo 3.3
../pdb/human_interaction_partners/TCP2/6nq2 3.4
../pdb/human_interaction_partners/TCP2/6nt3 3.4
../pdb/human_interaction_partners/TCP2/6nq1 3.5
../pdb/human_interaction_partners/TCP2/6nt4 3.5
../pdb/human_interaction_partners/TCP2/6n4q 3.6
../pdb/human_interaction_partners/TCP2/6nq0 3.7
../pdb/human_interaction_partners/ACE2/6acj 4.2
../pdb/human_interaction_partners/TCP2/6n4r 4.2
../pdb/human_interaction_partners/ACE2/6cs2 4.4
../pdb/human_interaction_partners/ACE2/6ack 4.5
../pdb/human_interaction_partners/ACE2/6m1d 4.5
../pdb/human_interaction_partners/ACE2/6acg 5.4
../pdb/rna_polymerase/SARS-CoV/6nus 3.5
../pdb/rna_polymerase-nsp7-nsp8/SARS-CoV-2/6m71 2.9
../pdb/rna_polymerase-nsp7-nsp8/SARS-CoV-2/7btf 2.95
../pdb/rna_polymerase-nsp7-nsp8/SARS-CoV/6nur 3.1
../pdb/surface_glycoprotein/SARS-CoV-2/6vxx 2.8
../pdb/surface_glycoprotein/SARS-CoV-2/6m17 2.9
../pdb/surface_glycoprotein/SARS-CoV-2/6vyb 3.2
../pdb/surface_glycoprotein/SARS-CoV/6crv 3.2
../pdb/surface_glycoprotein/SARS-CoV/5x58 3.2
../pdb/surface_glycoprotein/SARS-CoV/6crz 3.3
../pdb/surface_glycoprotein/SARS-CoV-2/6vsb 3.46
../pdb/surface_glycoprotein/SARS-CoV/6acc 3.6
../pdb/surface_glycoprotein/SARS-CoV/5x5b 3.7
../pdb/surface_glycoprotein/SARS-CoV/5xlr 3.8
../pdb/surface_glycoprotein/SARS-CoV/6cs0 3.8
../pdb/surface_glycoprotein/SARS-CoV/6acd 3.9
../pdb/surface_glycoprotein/SARS-CoV/6crx 3.9
../pdb/surface_glycoprotein/SARS-CoV/6crw 3.9
../pdb/surface_glycoprotein/SARS-CoV-2/6vsj 3.94
../pdb/surface_glycoprotein/SARS-CoV/6acj 4.2
../pdb/surface_glycoprotein/SARS-CoV/6nb6 4.2
../pdb/surface_glycoprotein/SARS-CoV/5wrg 4.3
../pdb/surface_glycoprotein/SARS-CoV/6cs2 4.4
../pdb/surface_glycoprotein/SARS-CoV/6ack 4.5
../pdb/surface_glycoprotein/SARS-CoV/6nb7 4.5
../pdb/surface_glycoprotein/SARS-CoV/6cs1 4.6
../pdb/surface_glycoprotein/SARS-CoV/6acg 5.4
